time,filename,pathname,exception name,exception data,error report filename
"Mon Feb  7 13:39:16 2005","Error.py","/opt/webware/WebKit/Examples/Error.py","exceptions.ImportError","No module named UnknownModule","/opt/webware/WebKit/ErrorMsgs/Error-Error.py-2005-02-07-13-39-16-22455.html"
"Mon Feb  7 14:14:23 2005","unknown","None","exceptions.KeyError","default","/opt/webware/WebKit/ErrorMsgs/Error-unknown-2005-02-07-14-14-23-34533.html"
"Mon Feb  7 14:14:54 2005","unknown","None","exceptions.KeyError","default","/opt/webware/WebKit/ErrorMsgs/Error-unknown-2005-02-07-14-14-54-44996.html"
"Mon Feb  7 14:14:57 2005","unknown","None","exceptions.KeyError","default","/opt/webware/WebKit/ErrorMsgs/Error-unknown-2005-02-07-14-14-57-92806.html"
"Mon Feb  7 14:15:04 2005","unknown","None","exceptions.KeyError","default","/opt/webware/WebKit/ErrorMsgs/Error-unknown-2005-02-07-14-15-04-53666.html"
"Mon Feb  7 14:27:52 2005","unknown","None","exceptions.KeyError","default","/opt/webware/WebKit/ErrorMsgs/Error-unknown-2005-02-07-14-27-52-41452.html"
"Mon Feb  7 14:36:21 2005","unknown","None","exceptions.KeyError","default","/opt/webware/WebKit/ErrorMsgs/Error-unknown-2005-02-07-14-36-21-65334.html"
"Tue Mar 29 10:24:21 2005","LoginPageDummy.py","/opt/gridportal/context/LoginPageDummy.py","exceptions.ValueError","invalid literal for int(): /bin/sh: line 1: grid-proxy-info: command not found","/opt/webware/WebKit/ErrorMsgs/Error-LoginPageDummy.py-2005-03-29-10-24-21-88293.html"
"Tue Mar 29 10:39:50 2005","ShowUserPage.py","/opt/gridportal/context/ShowUserPage.py","exceptions.ValueError","invalid literal for int(): /bin/sh: line 1: grid-proxy-info: command not found","/opt/webware/WebKit/ErrorMsgs/Error-ShowUserPage.py-2005-03-29-10-39-50-67933.html"
"Tue Mar 29 10:40:04 2005","ShowUserPage.py","/opt/gridportal/context/ShowUserPage.py","exceptions.ValueError","invalid literal for int(): /bin/sh: line 1: grid-proxy-info: command not found","/opt/webware/WebKit/ErrorMsgs/Error-ShowUserPage.py-2005-03-29-10-40-04-18648.html"
"Tue Mar 29 10:40:33 2005","ShowUserPage.py","/opt/gridportal/context/ShowUserPage.py","exceptions.ValueError","invalid literal for int(): /bin/sh: line 1: grid-proxy-info: command not found","/opt/webware/WebKit/ErrorMsgs/Error-ShowUserPage.py-2005-03-29-10-40-33-47990.html"
"Tue Mar 29 11:07:39 2005","ShowUserPage.py","/opt/gridportal/context/ShowUserPage.py","exceptions.ValueError","invalid literal for int(): /bin/sh: line 1: grid-proxy-info: command not found","/opt/webware/WebKit/ErrorMsgs/Error-ShowUserPage.py-2005-03-29-11-07-39-47868.html"
"Tue Mar 29 11:08:02 2005","ShowUserPage.py","/opt/gridportal/context/ShowUserPage.py","exceptions.ValueError","invalid literal for int(): /bin/sh: line 1: grid-proxy-info: command not found","/opt/webware/WebKit/ErrorMsgs/Error-ShowUserPage.py-2005-03-29-11-08-02-43860.html"
